date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:57	23886/23886	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/map-grid.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/map-grid.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:55:58	19479/19479	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/map-list.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/map-list.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:55:58	21362/21362	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/search.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/search.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:55:59	26984/26984	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/doctor-profile.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/doctor-profile.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:55:59	11450/11450	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/booking.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/booking.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:00	11424/11424	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/checkout.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/checkout.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:01	7769/7769	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/booking-success.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/booking-success.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:01	38937/38937	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/patient-dashboard.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/patient-dashboard.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:02	25145/25145	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/favourites.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/favourites.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:02	21002/21002	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/chat.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/chat.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:03	12366/12366	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/profile-settings.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/profile-settings.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:04	10077/10077	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/change-password.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/change-password.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:04	9725/9725	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/voice-call.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/voice-call.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:04	9136/9136	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/video-call.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/video-call.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:05	11796/11796	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/calendar.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/calendar.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:05	61062/61062	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/components.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/components.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:06	10624/10624	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/invoice-view.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/invoice-view.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:06	7375/7375	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/blank-page.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/blank-page.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:07	8305/8305	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/login.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/login.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:08	8731/8731	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/register.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/register.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:09	7755/7755	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/forgot-password.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/forgot-password.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:09	16297/16297	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/blog-list.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/blog-list.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:10	18999/18999	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/blog-grid.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/blog-grid.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:11	18653/18653	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/blog-details.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/blog-details.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:12	20871/20871	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/admin/index.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/admin/index.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:12	118889/118889	---M--	200	added ('OK')	image/png	etag:%221d069-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-01.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-01.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:12	97130/97130	---M--	200	added ('OK')	image/png	etag:%2217b6a-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-02.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-02.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:13	105163/105163	---M--	200	added ('OK')	image/png	etag:%2219acb-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-03.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-03.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:13	76359/76359	---M--	200	added ('OK')	image/png	etag:%2212a47-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-01.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-01.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:13	126948/126948	---M--	200	added ('OK')	image/png	etag:%221efe4-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-04.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/specialities/specialities-04.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:14	91916/91916	---M--	200	added ('OK')	image/png	etag:%221670c-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-02.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-02.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:14	63098/63098	---M--	200	added ('OK')	image/png	etag:%22f67a-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-03.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-03.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:14	69082/69082	---M--	200	added ('OK')	image/png	etag:%2210dda-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-04.png	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/doctors/doctor-04.png	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:14	1492/1492	---M--	200	added ('OK')	image/jpeg	etag:%225d4-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/payment1.jpg	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/payment1.jpg	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:14	1507/1507	---M--	200	added ('OK')	image/jpeg	etag:%225e3-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/payment2.jpg	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/payment2.jpg	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:15	1539/1539	---M--	200	added ('OK')	image/jpeg	etag:%22603-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/payment3.jpg	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/payment3.jpg	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:15	1509/1509	---M--	200	added ('OK')	image/jpeg	etag:%225e5-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/img/payment4.jpg	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/img/payment4.jpg	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:16	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jun%202021%2018:56:17%20GMT	https://doccure-html.dreamguystech.com/cosmetics/blog.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/blog.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:16	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jun%202021%2018:56:17%20GMT	https://doccure-html.dreamguystech.com/cosmetics/payment.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/payment.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:17	11191/11191	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/privacy-policy.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/privacy-policy.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:17	10836/10836	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2010:07:54%20GMT	https://doccure-html.dreamguystech.com/cosmetics/term-condition.html	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/term-condition.html	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
